Variable,Coeficiente
region_Houston,-0.37070157877804755
region_DallasFtWorth,-0.34847621910725246
region_CincinnatiDayton,-0.34687245285445045
region_Nashville,-0.33933915889857047
region_SouthCentral,-0.3299301718582338
region_Roanoke,-0.31297515785452507
region_Columbus,-0.3074912807495172
region_NewYork,0.29955029819806356
region_Louisville,-0.29541023181352666
region_SanFrancisco,0.28355449223410295
region_HartfordSpringfield,0.274040616974021
region_Detroit,-0.27188595458266995
region_Indianapolis,-0.25661468633703294
region_RichmondNorfolk,-0.24999729911354795
region_NewOrleansMobile,-0.2383166447760628
region_Denver,-0.22779084136072997
region_LosAngeles,-0.22264119723384035
region_PhoenixTucson,-0.21666412245186983
region_Portland,-0.20493530466865867
region_Boise,-0.1969988697267192
type_organic,0.19629879054886515
region_WestTexNewMexico,-0.19311337216001506
region_Pittsburgh,-0.18883409161971249
region_Northeast,0.18530607716617628
region_Atlanta,-0.17711149190132514
region_West,-0.14871695888552217
region_LasVegas,-0.14657846735859312
region_Spokane,-0.1370264711587793
region_StLouis,-0.1281037770051552
region_SouthCarolina,-0.12079900331489393
region_Philadelphia,0.1117785301109091
region_GreatLakes,-0.11037105448846396
region_Tampa,-0.1095097084799037
Total Volume,-0.10340664935369645
region_SanDiego,-0.1032635306519044
region_Sacramento,0.1005979605450607
region_Seattle,-0.0828599804511021
region_Chicago,0.08100711544704192
region_MiamiFtLauderdale,-0.08028127330196255
month,0.06621667427267354
region_Charlotte,0.06056245971947574
region_BaltimoreWashington,0.06002679251764759
region_GrandRapids,-0.05774813919232277
region_BuffaloRochester,-0.04704951876856359
year,0.04605393441542594
region_Syracuse,-0.04540053815641332
region_Jacksonville,-0.041406845461791714
region_California,-0.03787848287569426
region_NorthernNewEngland,-0.03623849398644091
region_Midsouth,-0.03558307798943056
XLarge Bags,0.030142638594624488
region_Southeast,-0.029190392199795384
region_Boston,0.022915781913112096
region_TotalUS,-0.02207773473814459
region_Orlando,-0.020935329089493998
region_HarrisburgScranton,-0.018182324869452232
region_RaleighGreensboro,0.010136806703343881
region_Plains,-0.008390205418556063
